ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
000977.SZ,53.46,54.15,51.6,51.88,53.07,-1.19,-2.2423,945979.94,5007787.862
000977.SZ,54.0,54.55,52.99,53.07,53.43,-0.36,-0.6738,834122.19,4468137.054
000977.SZ,54.8,55.55,52.72,53.43,55.05,-1.62,-2.9428,1230184.47,6664550.11
000977.SZ,53.1,56.37,52.31,55.05,53.86,1.19,2.2094,1399017.54,7649394.07
000977.SZ,53.4,55.33,52.72,53.86,53.88,-0.02,-0.0371,1391707.45,7519887.33
000977.SZ,50.91,54.23,50.5,53.88,50.85,3.03,5.9587,1778588.79,9404963.037
000977.SZ,52.55,53.0,50.26,50.85,51.56,-0.71,-1.377,1332242.73,6876475.359
000977.SZ,51.07,53.0,50.97,51.56,51.19,0.37,0.7228,2014310.99,10435404.023
000977.SZ,45.99,51.19,45.81,51.19,46.54,4.65,9.9914,2181159.14,10816377.333
000977.SZ,45.66,47.17,45.2,46.54,45.78,0.76,1.6601,496132.01,2294628.716
000977.SZ,45.61,46.92,45.5,45.78,45.6,0.18,0.3947,528225.51,2446705.542
000977.SZ,45.79,46.3,45.41,45.6,45.76,-0.16,-0.3497,326334.41,1494884.429
000977.SZ,46.71,47.03,45.75,45.76,47.18,-1.42,-3.0097,476238.29,2203130.308
000977.SZ,46.97,47.48,46.39,47.18,47.1,0.08,0.1699,449353.63,2108525.69
000977.SZ,47.0,47.44,46.73,47.1,47.09,0.01,0.0212,371369.26,1746695.99
000977.SZ,48.6,48.61,47.0,47.09,46.9,0.19,0.4051,625084.91,2982001.798
000977.SZ,47.53,48.05,46.46,46.9,47.84,-0.94,-1.9649,506567.58,2387447.543
000977.SZ,46.89,48.32,46.75,47.84,46.26,1.58,3.4155,823362.28,3922749.941
000977.SZ,46.1,46.69,45.96,46.26,46.12,0.14,0.3036,365263.33,1689604.366
000977.SZ,46.49,47.03,45.9,46.12,46.5,-0.38,-0.8172,489694.87,2271664.038
000977.SZ,48.03,48.15,45.9,46.5,48.03,-1.53,-3.1855,829057.01,3885774.359
000977.SZ,47.59,48.37,47.51,48.03,47.8,0.23,0.4812,645810.08,3093370.788
000977.SZ,47.0,48.6,46.31,47.8,47.21,0.59,1.2497,836716.27,3975537.611
000977.SZ,46.58,48.99,46.32,47.21,46.62,0.59,1.2656,965242.12,4598016.14
000977.SZ,45.03,46.63,44.56,46.62,45.29,1.33,2.9366,706536.81,3230643.299
000977.SZ,46.0,46.58,45.26,45.29,46.45,-1.16,-2.4973,544953.03,2501300.969
000977.SZ,47.38,47.87,44.9,46.45,47.71,-1.26,-2.641,1042415.1,4808004.084
000977.SZ,48.98,50.97,47.48,47.71,49.26,-1.55,-3.1466,1038273.26,5119811.086
000977.SZ,48.78,50.05,48.5,49.26,48.89,0.37,0.7568,865561.28,4269970.58
000977.SZ,48.39,49.81,48.15,48.89,48.9,-0.01,-0.0204,910945.85,4451384.751
000977.SZ,46.96,49.84,46.12,48.9,46.92,1.98,4.2199,1122562.63,5363505.486
000977.SZ,49.35,49.75,46.24,46.92,49.21,-2.29,-4.6535,1029235.88,4922043.379
000977.SZ,52.29,53.4,49.19,49.21,52.4,-3.19,-6.0878,1347243.19,6860670.164
000977.SZ,55.7,56.16,52.3,52.4,57.01,-4.61,-8.0863,1737110.37,9338409.667
000977.SZ,54.82,59.5,54.78,57.01,55.88,1.13,2.0222,1911792.69,10993346.83
000977.SZ,53.95,56.7,53.12,55.88,54.72,1.16,2.1199,1947105.22,10703839.734
000977.SZ,53.9,56.88,52.8,54.72,51.71,3.01,5.8209,2570084.74,14068406.023
000977.SZ,47.58,51.71,47.55,51.71,47.01,4.7,9.9979,1747764.87,8767205.356
000977.SZ,45.78,47.18,45.25,47.01,46.4,0.61,1.3147,1014744.03,4687061.006
000977.SZ,47.6,47.7,46.0,46.4,47.45,-1.05,-2.2129,1246287.24,5837598.83
000977.SZ,45.7,48.38,45.4,47.45,46.1,1.35,2.9284,1517200.69,7135412.473
000977.SZ,43.25,46.61,43.25,46.1,43.7,2.4,5.492,1107662.19,5002254.822
000977.SZ,45.86,48.42,43.51,43.7,46.78,-3.08,-6.584,1468783.24,6733313.558
000977.SZ,45.8,47.5,45.03,46.78,44.83,1.95,4.3498,1650246.91,7675161.811
000977.SZ,44.0,45.5,43.77,44.83,44.51,0.32,0.7189,1013183.74,4515032.224
