ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
000157.SZ,7.16,7.38,7.14,7.23,7.17,0.06,0.8368,977067.13,710014.689
000157.SZ,7.05,7.18,7.04,7.17,7.07,0.1,1.4144,566918.52,405228.156
000157.SZ,7.22,7.26,7.05,7.07,7.21,-0.14,-1.9417,703562.96,500280.663
000157.SZ,7.21,7.23,7.13,7.21,7.19,0.02,0.2782,378101.59,272057.738
000157.SZ,7.25,7.25,7.14,7.19,7.24,-0.05,-0.6906,383138.18,275375.35
000157.SZ,7.06,7.25,7.04,7.24,7.08,0.16,2.2599,888574.27,637680.001
000157.SZ,6.92,7.1,6.89,7.08,6.91,0.17,2.4602,844595.98,594250.553
000157.SZ,7.0,7.04,6.91,6.91,7.01,-0.1,-1.4265,465481.49,322899.304
000157.SZ,6.96,7.01,6.91,7.01,6.99,0.02,0.2861,330081.95,229643.556
000157.SZ,7.01,7.07,6.98,6.99,7.01,-0.02,-0.2853,324704.64,228169.021
000157.SZ,6.99,7.09,6.96,7.01,6.99,0.02,0.2861,385036.41,270533.504
000157.SZ,7.09,7.12,6.96,6.99,7.09,-0.1,-1.4104,549014.14,386658.209
000157.SZ,7.22,7.22,7.08,7.09,7.24,-0.15,-2.0718,611693.18,436211.138
000157.SZ,7.19,7.24,7.13,7.24,7.18,0.06,0.8357,483449.97,348096.352
000157.SZ,7.16,7.24,7.12,7.18,7.16,0.02,0.2793,521143.09,374314.449
000157.SZ,7.13,7.29,7.09,7.16,6.99,0.17,2.432,1295261.6,931443.441
000157.SZ,7.04,7.08,6.95,6.99,7.03,-0.04,-0.569,514344.71,360828.245
000157.SZ,7.04,7.1,7.0,7.03,7.06,-0.03,-0.4249,640638.92,451099.585
000157.SZ,6.93,7.07,6.85,7.06,6.97,0.09,1.2912,767563.75,535059.66
000157.SZ,6.99,7.01,6.94,6.97,7.0,-0.03,-0.4286,371205.43,258956.081
000157.SZ,6.99,7.05,6.93,7.0,6.99,0.01,0.1431,439588.3,306551.875
000157.SZ,6.96,7.02,6.94,6.99,6.98,0.01,0.1433,541224.3,377718.111
000157.SZ,6.96,7.03,6.94,6.98,6.97,0.01,0.1435,424747.48,296730.934
000157.SZ,7.05,7.08,6.96,6.97,7.08,-0.11,-1.5537,407976.08,285762.1
000157.SZ,6.85,7.08,6.84,7.08,6.88,0.2,2.907,494628.13,344852.919
000157.SZ,6.93,6.96,6.85,6.88,6.95,-0.07,-1.0072,347113.38,239584.06
000157.SZ,6.91,7.1,6.9,6.95,6.92,0.03,0.4335,586231.15,410170.484
000157.SZ,7.06,7.1,6.92,6.92,7.09,-0.17,-2.3977,482887.2,338820.571
000157.SZ,7.06,7.12,7.03,7.09,7.08,0.01,0.1412,340015.29,240295.206
000157.SZ,7.06,7.15,7.0,7.08,7.05,0.03,0.4255,534513.55,377897.768
000157.SZ,6.98,7.06,6.93,7.05,6.98,0.07,1.0029,430243.57,301555.947
000157.SZ,7.03,7.13,6.95,6.98,7.01,-0.03,-0.428,611691.26,430766.281
000157.SZ,7.14,7.19,7.0,7.01,7.17,-0.16,-2.2315,594455.04,420860.241
000157.SZ,7.31,7.33,7.15,7.17,7.3,-0.13,-1.7808,461511.76,334113.743
000157.SZ,7.24,7.33,7.22,7.3,7.28,0.02,0.2747,468476.09,340573.121
000157.SZ,7.4,7.49,7.25,7.28,7.39,-0.11,-1.4885,673757.6,496379.363
000157.SZ,7.44,7.48,7.27,7.39,7.43,-0.04,-0.5384,841946.58,619223.19
000157.SZ,7.59,7.62,7.4,7.43,7.55,-0.12,-1.5894,844777.05,630154.614
000157.SZ,7.33,7.55,7.3,7.55,7.38,0.17,2.3035,805524.58,602780.226
000157.SZ,7.4,7.5,7.32,7.38,7.39,-0.01,-0.1353,1037639.11,768944.573
000157.SZ,7.21,7.4,7.14,7.39,7.21,0.18,2.4965,1165146.25,848257.98
000157.SZ,7.22,7.25,7.04,7.21,7.13,0.08,1.122,969992.21,694984.372
000157.SZ,6.96,7.23,6.91,7.13,6.95,0.18,2.5899,1221863.38,868761.832
000157.SZ,6.84,7.08,6.8,6.95,6.81,0.14,2.0558,1196547.67,836337.571
000157.SZ,6.72,6.92,6.71,6.81,6.74,0.07,1.0386,642847.13,439326.538
