ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
000938.SZ,29.19,29.31,27.83,27.83,29.19,-1.36,-4.6591,1461886.59,4154547.737
000938.SZ,29.54,29.85,28.81,29.19,28.96,0.23,0.7942,1600500.49,4698852.887
000938.SZ,29.0,30.88,28.85,28.96,28.76,0.2,0.6954,2731248.95,8102508.772
000938.SZ,27.37,28.97,27.02,28.76,27.63,1.13,4.0898,1832303.85,5186303.729
000938.SZ,27.0,28.1,26.94,27.63,27.27,0.36,1.3201,1421245.68,3928535.397
000938.SZ,27.2,27.39,26.52,27.27,27.2,0.07,0.2574,979461.18,2637986.749
000938.SZ,27.33,28.15,26.74,27.2,27.07,0.13,0.4802,1332918.78,3651082.948
000938.SZ,27.18,27.6,26.85,27.07,27.59,-0.52,-1.8847,1516782.86,4125517.701
000938.SZ,25.53,28.0,25.48,27.59,26.02,1.57,6.0338,2360198.53,6383734.974
000938.SZ,25.6,26.44,24.73,26.02,25.6,0.42,1.6406,1250117.36,3202423.7
000938.SZ,24.9,26.15,24.85,25.6,24.98,0.62,2.482,1214184.15,3123771.454
000938.SZ,24.61,25.65,24.58,24.98,24.56,0.42,1.7101,745303.67,1873367.282
000938.SZ,25.05,25.06,24.56,24.56,25.26,-0.7,-2.7712,500627.39,1239847.456
000938.SZ,25.14,25.41,24.89,25.26,25.14,0.12,0.4773,462061.55,1162994.835
000938.SZ,24.96,25.2,24.88,25.14,24.98,0.16,0.6405,411757.61,1030938.523
000938.SZ,25.6,25.78,24.96,24.98,24.86,0.12,0.4827,657362.08,1666263.595
000938.SZ,25.15,25.2,24.58,24.86,25.24,-0.38,-1.5055,496127.37,1233503.555
000938.SZ,24.84,25.33,24.63,25.24,24.83,0.41,1.6512,684218.7,1713752.14
000938.SZ,24.59,24.93,24.48,24.83,24.59,0.24,0.976,399455.65,988408.656
000938.SZ,25.07,25.24,24.5,24.59,25.0,-0.41,-1.64,493908.15,1226868.506
000938.SZ,25.51,25.52,24.67,25.0,25.48,-0.48,-1.8838,623953.23,1563634.565
000938.SZ,25.35,25.69,25.23,25.48,25.35,0.13,0.5128,574670.36,1464388.433
000938.SZ,24.81,25.64,24.7,25.35,24.94,0.41,1.6439,644364.59,1625898.533
000938.SZ,24.9,25.67,24.78,24.94,24.91,0.03,0.1204,710717.97,1787288.858
000938.SZ,24.2,24.92,23.88,24.91,24.27,0.64,2.637,582828.21,1424107.101
000938.SZ,24.43,24.93,24.1,24.27,24.45,-0.18,-0.7362,421294.88,1033680.568
000938.SZ,24.72,24.96,23.92,24.45,24.83,-0.38,-1.5304,720374.05,1752692.664
000938.SZ,26.05,26.42,24.81,24.83,25.98,-1.15,-4.4265,889863.29,2285419.934
000938.SZ,25.88,26.35,25.69,25.98,25.97,0.01,0.0385,623061.26,1622962.7
000938.SZ,25.85,26.36,25.71,25.97,26.06,-0.09,-0.3454,730383.29,1897881.9
000938.SZ,25.5,26.31,24.95,26.06,25.46,0.6,2.3566,851892.87,2184310.024
000938.SZ,26.55,26.66,25.2,25.46,26.42,-0.96,-3.6336,899608.16,2324121.086
000938.SZ,27.28,27.74,26.4,26.42,27.41,-0.99,-3.6118,917615.34,2478738.165
000938.SZ,28.71,28.74,27.4,27.41,28.93,-1.52,-5.2541,959731.49,2677553.251
000938.SZ,28.46,29.25,28.22,28.93,28.87,0.06,0.2078,1067044.89,3066961.499
000938.SZ,29.88,29.92,28.33,28.87,30.59,-1.72,-5.6228,1946914.91,5693610.435
000938.SZ,27.7,31.03,27.58,30.59,28.21,2.38,8.4367,2731561.52,8096782.245
000938.SZ,27.5,29.7,27.2,28.21,27.09,1.12,4.1344,1939594.32,5504878.609
000938.SZ,26.79,27.19,26.1,27.09,27.22,-0.13,-0.4776,1389824.35,3707965.958
000938.SZ,27.03,28.13,26.41,27.22,26.92,0.3,1.1144,1769255.57,4798093.629
000938.SZ,25.9,27.3,25.65,26.92,25.92,1.0,3.858,1662797.27,4434127.561
000938.SZ,24.51,26.0,24.51,25.92,24.68,1.24,5.0243,1125265.97,2878023.713
000938.SZ,25.7,26.26,24.61,24.68,26.25,-1.57,-5.981,1323979.43,3358636.197
000938.SZ,25.19,26.69,24.65,26.25,25.2,1.05,4.1667,1836132.23,4739978.414
000938.SZ,25.05,25.85,24.79,25.2,25.38,-0.18,-0.7092,1025699.45,2592339.874
000938.SZ,24.88,26.5,24.53,25.38,24.87,0.51,2.0507,1569081.59,4007970.645
000938.SZ,25.0,25.15,24.72,24.87,24.99,-0.12,-0.4802,703032.62,1749967.401
000938.SZ,24.88,25.19,24.48,24.99,24.73,0.26,1.0514,724434.0,1798811.69
000938.SZ,24.37,25.34,24.21,24.73,24.64,0.09,0.3653,786524.66,1946669.836
