ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
000425.SZ,7.76,8.04,7.76,7.93,7.79,0.14,1.7972,1023763.76,812027.566
000425.SZ,7.65,7.87,7.63,7.79,7.67,0.12,1.5645,749415.13,583265.756
000425.SZ,7.69,7.74,7.59,7.67,7.69,-0.02,-0.2601,498710.21,382416.876
000425.SZ,7.69,7.73,7.56,7.69,7.7,-0.01,-0.1299,593429.85,454906.518
000425.SZ,7.69,7.74,7.63,7.7,7.71,-0.01,-0.1297,465789.04,358357.925
000425.SZ,7.55,7.73,7.54,7.71,7.57,0.14,1.8494,786965.97,600588.823
000425.SZ,7.43,7.81,7.42,7.57,7.44,0.13,1.7473,1398298.43,1070624.043
000425.SZ,7.87,7.93,7.38,7.44,7.91,-0.47,-5.9418,2248222.91,1687373.311
000425.SZ,7.82,7.96,7.71,7.91,7.88,0.03,0.3807,714961.06,565142.062
000425.SZ,8.05,8.09,7.84,7.88,8.05,-0.17,-2.1118,743567.27,589566.952
000425.SZ,7.91,8.15,7.88,8.05,7.94,0.11,1.3854,891291.58,718741.756
000425.SZ,8.16,8.3,7.88,7.94,8.18,-0.24,-2.934,1151915.94,923184.105
000425.SZ,8.15,8.3,8.12,8.18,8.2,-0.02,-0.2439,1356962.82,1114195.32
000425.SZ,8.18,8.21,8.03,8.2,8.16,0.04,0.4902,666717.24,542981.017
000425.SZ,8.07,8.3,8.03,8.16,8.07,0.09,1.1152,1109708.28,909928.889
000425.SZ,8.3,8.4,8.05,8.07,8.07,0.0,0.0,987347.77,802716.217
000425.SZ,7.96,8.14,7.92,8.07,7.98,0.09,1.1278,976717.44,784160.792
000425.SZ,8.04,8.07,7.94,7.98,8.02,-0.04,-0.4988,591544.58,473138.486
000425.SZ,8.0,8.05,7.85,8.02,8.04,-0.02,-0.2488,676483.7,537118.979
000425.SZ,8.1,8.16,7.99,8.04,8.15,-0.11,-1.3497,695202.99,560890.139
000425.SZ,8.28,8.29,8.02,8.15,8.24,-0.09,-1.0922,840842.03,683460.631
000425.SZ,8.12,8.4,8.1,8.24,8.09,0.15,1.8541,1079959.31,894294.069
000425.SZ,8.07,8.2,8.04,8.09,8.15,-0.06,-0.7362,683399.25,554171.634
000425.SZ,8.02,8.35,7.95,8.15,8.03,0.12,1.4944,1278315.98,1049844.162
000425.SZ,7.75,8.1,7.71,8.03,7.75,0.28,3.6129,1249836.69,993745.57
000425.SZ,7.78,7.91,7.66,7.75,7.75,0.0,0.0,901509.79,700763.724
000425.SZ,7.6,7.98,7.58,7.75,7.57,0.18,2.3778,1321871.1,1032226.058
000425.SZ,7.7,7.81,7.56,7.57,7.69,-0.12,-1.5605,694127.17,531872.948
000425.SZ,7.75,7.78,7.65,7.69,7.75,-0.06,-0.7742,458792.5,353723.202
000425.SZ,7.79,7.98,7.7,7.75,7.79,-0.04,-0.5135,721297.34,563431.807
000425.SZ,7.67,7.8,7.67,7.79,7.67,0.12,1.5645,489209.85,378455.606
000425.SZ,7.72,7.87,7.64,7.67,7.72,-0.05,-0.6477,712625.78,552712.244
000425.SZ,7.92,7.97,7.71,7.72,7.95,-0.23,-2.8931,838888.27,654888.223
000425.SZ,8.05,8.1,7.93,7.95,8.06,-0.11,-1.3648,671654.9,537777.514
000425.SZ,8.05,8.16,8.02,8.06,8.07,-0.01,-0.1239,560843.09,452384.142
