ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
000333.SZ,75.1,76.05,74.69,75.22,75.32,-0.1,-0.1328,307660.03,2324365.541
000333.SZ,75.0,76.18,74.92,75.32,75.42,-0.1,-0.1326,221827.24,1676164.969
000333.SZ,75.98,76.05,74.8,75.42,75.98,-0.56,-0.737,198421.17,1493951.286
000333.SZ,75.26,76.24,74.65,75.98,75.54,0.44,0.5825,242142.92,1829497.5
000333.SZ,76.3,76.6,75.04,75.54,76.25,-0.71,-0.9311,227338.66,1719267.176
000333.SZ,74.4,76.38,74.4,76.25,74.61,1.64,2.1981,344141.01,2606513.926
000333.SZ,74.0,75.25,73.95,74.61,74.0,0.61,0.8243,226028.81,1689849.27
000333.SZ,74.43,74.79,73.66,74.0,74.44,-0.44,-0.5911,209396.51,1552494.957
000333.SZ,73.86,75.23,73.24,74.44,74.1,0.34,0.4588,253552.78,1893593.092
000333.SZ,73.66,74.58,73.58,74.1,73.67,0.43,0.5837,225785.49,1675256.403
000333.SZ,73.2,74.68,72.81,73.67,73.22,0.45,0.6146,278873.05,2058385.955
000333.SZ,74.1,74.45,72.65,73.22,74.0,-0.78,-1.0541,280470.59,2054964.896
000333.SZ,75.2,75.23,73.33,74.0,75.56,-1.56,-2.0646,370633.34,2744782.532
000333.SZ,75.2,75.75,74.37,75.56,75.1,0.46,0.6125,286398.14,2153602.254
000333.SZ,73.7,75.33,73.6,75.1,73.84,1.26,1.7064,335433.9,2512587.263
000333.SZ,76.51,76.66,73.79,73.84,73.13,0.71,0.9709,555132.89,4164810.151
000333.SZ,72.01,73.88,71.31,73.13,72.85,0.28,0.3844,413219.23,3017126.124
000333.SZ,71.78,73.13,71.51,72.85,71.72,1.13,1.5756,456778.46,3318584.662
000333.SZ,71.6,72.88,71.42,71.72,71.49,0.23,0.3217,367644.63,2647263.413
000333.SZ,69.88,71.99,69.6,71.49,69.85,1.64,2.3479,531955.06,3779094.534
000333.SZ,70.0,70.0,69.4,69.85,70.08,-0.23,-0.3282,313174.22,2181594.388
000333.SZ,70.15,70.53,69.23,70.08,70.13,-0.05,-0.0713,357905.65,2500096.04
000333.SZ,69.68,70.77,69.55,70.13,70.19,-0.06,-0.0855,277501.41,1951115.164
000333.SZ,72.0,72.0,69.76,70.19,71.32,-1.13,-1.5844,323289.51,2275593.42
000333.SZ,70.32,71.5,69.74,71.32,70.6,0.72,1.0198,264824.99,1875798.199
000333.SZ,70.11,71.2,69.35,70.6,70.39,0.21,0.2983,274187.96,1932586.725
000333.SZ,70.11,72.38,70.11,70.39,70.39,0.0,0.0,385867.74,2737579.009
000333.SZ,70.83,72.82,70.22,70.39,70.84,-0.45,-0.6352,388458.2,2781161.792
000333.SZ,71.37,71.39,70.55,70.84,71.43,-0.59,-0.826,216528.45,1534662.636
000333.SZ,71.38,71.65,70.74,71.43,71.31,0.12,0.1683,226371.19,1610809.493
000333.SZ,71.05,71.75,70.7,71.31,71.05,0.26,0.3659,226651.63,1614053.712
000333.SZ,72.17,72.98,70.83,71.05,72.25,-1.2,-1.6609,319385.99,2292938.837
000333.SZ,73.15,74.11,71.85,72.25,73.64,-1.39,-1.8876,342825.15,2496870.647
000333.SZ,73.48,74.89,72.33,73.64,73.4,0.24,0.327,408434.66,3020822.981
000333.SZ,72.48,74.3,72.46,73.4,72.39,1.01,1.3952,458416.57,3373337.471
000333.SZ,71.91,74.89,71.79,72.39,71.6,0.79,1.1034,575477.22,4231304.809
000333.SZ,71.23,71.84,70.82,71.6,72.58,-0.98,-1.3502,442079.13,3153791.634
000333.SZ,72.66,73.76,71.1,72.58,72.1,0.48,0.6657,593373.82,4283549.293
