ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
002304.SZ,83.4,84.67,83.4,83.53,83.12,0.41,0.4933,80844.83,679460.045
002304.SZ,83.68,84.23,82.93,83.12,84.02,-0.9,-1.0712,50256.72,419703.362
002304.SZ,83.55,84.35,83.12,84.02,83.57,0.45,0.5385,36959.12,309716.642
002304.SZ,83.3,83.86,83.09,83.57,83.37,0.2,0.2399,30256.85,252784.39
002304.SZ,83.24,83.48,82.83,83.37,83.24,0.13,0.1562,35249.54,293222.92
002304.SZ,83.41,83.56,82.83,83.24,83.4,-0.16,-0.1918,59110.99,491762.75
002304.SZ,84.32,84.48,83.28,83.4,85.0,-1.6,-1.8824,48314.91,405494.185
002304.SZ,83.5,85.15,83.5,85.0,83.7,1.3,1.5532,55590.96,469346.706
002304.SZ,84.01,84.1,83.15,83.7,84.2,-0.5,-0.5938,54172.71,453126.618
002304.SZ,83.8,84.53,83.5,84.2,83.8,0.4,0.4773,49500.91,416541.186
002304.SZ,83.66,84.35,83.21,83.8,83.67,0.13,0.1554,64737.99,543177.169
002304.SZ,83.8,84.13,83.08,83.67,83.93,-0.26,-0.3098,70149.18,586250.867
002304.SZ,86.8,86.8,83.93,83.93,86.95,-3.02,-3.4733,149288.47,1268771.623
002304.SZ,85.84,87.23,85.42,86.95,85.84,1.11,1.2931,103997.58,900476.614
002304.SZ,85.12,86.6,85.1,85.84,85.64,0.2,0.2335,78571.74,674547.607
002304.SZ,88.0,88.53,85.37,85.64,85.03,0.61,0.7174,114856.5,997583.652
002304.SZ,85.43,85.83,84.75,85.03,85.68,-0.65,-0.7586,47795.83,407169.863
002304.SZ,85.11,86.1,84.9,85.68,85.12,0.56,0.6579,49344.73,422259.511
002304.SZ,85.1,85.3,84.6,85.12,85.46,-0.34,-0.3978,33636.5,285806.683
002304.SZ,86.02,86.37,85.21,85.46,86.4,-0.94,-1.088,46018.5,394301.546
002304.SZ,87.1,87.1,85.9,86.4,86.94,-0.54,-0.6211,45465.69,392504.263
002304.SZ,85.21,87.1,84.71,86.94,85.75,1.19,1.3878,63932.67,551030.402
002304.SZ,85.2,87.0,85.2,85.75,85.09,0.66,0.7756,54319.4,467187.185
002304.SZ,85.44,85.59,84.84,85.09,85.43,-0.34,-0.398,31742.95,270589.492
002304.SZ,84.01,85.68,83.88,85.43,84.42,1.01,1.1964,44915.52,381252.582
